"Model","Simulation","Covariate_Estimate","Covariate_SE","Covariate_pvalue","Significant","RMSE_data","RMSE_latent","Sample_Size","True_Effect","Scenario"
"Covariate_Only",1,-0.552005352405377,0.223377002513192,0.0170676074816524,TRUE,1.31801162740898,1.33794005621629,50,0,"No Effect"
"Covariate_GMRF",1,0.046305406154863,0.173836084314443,0.789951217945091,FALSE,1.41898167923942,1.45160817414608,50,0,"No Effect"
"Covariate_RSR",1,-0.552005352405377,0.0229530554089149,0,TRUE,1.31801162740898,1.33794005621629,50,0,"No Effect"
"Covariate_Only",2,-0.606339445529873,0.179826134872037,0.00148297412689456,TRUE,1.58368657371693,1.54224951144954,50,0,"No Effect"
"Covariate_GMRF",2,-0.0328471073634276,0.153532047055772,0.830591504165708,FALSE,1.74717716555533,1.70625061667443,50,0,"No Effect"
"Covariate_RSR",2,-0.606339445529872,0.0207667830435641,0,TRUE,1.58368657371693,1.54224951144954,50,0,"No Effect"
"Covariate_Only",3,0.101480653687571,0.0885152128170004,0.257281048051797,FALSE,0.766626690951855,0.751703531663363,50,0,"No Effect"
"Covariate_GMRF",3,0.0997320977246108,0.119559132438454,0.404187756469781,FALSE,0.767739700073418,0.754198858388437,50,0,"No Effect"
"Covariate_RSR",3,0.101480653687571,9.82277348027629e-06,0,TRUE,0.766626690951855,0.751703531663363,50,0,"No Effect"
"Covariate_Only",4,0.359607859443021,0.180260683077225,0.0517446446268316,FALSE,1.49759827080876,1.45627404021143,50,0,"No Effect"
"Covariate_GMRF",4,0.102379809800291,0.152669567598921,0.502477061367036,FALSE,1.52913621726856,1.49687206676071,50,0,"No Effect"
"Covariate_RSR",4,0.359607859443021,0.0628819566682742,1.07293777196205e-08,TRUE,1.49759827080876,1.45627404021143,50,0,"No Effect"
"Covariate_Only",5,0.0453856403770147,0.139714056435612,0.746708759928749,FALSE,1.01613659946741,0.976225187462294,50,0,"No Effect"
"Covariate_GMRF",5,0.171685881197048,0.125034532166193,0.169718861900429,FALSE,1.02476452723677,0.988157729737082,50,0,"No Effect"
"Covariate_RSR",5,0.0453856403770146,0.0384302437894154,0.237607659697898,FALSE,1.01613659946741,0.976225187462294,50,0,"No Effect"
"Covariate_Only",6,-0.154322337573932,0.124530691855897,0.221285112963322,FALSE,0.8626240986883,0.817104122349068,50,0,"No Effect"
"Covariate_GMRF",6,-0.299112303505548,0.151152954685821,0.0478304539240285,TRUE,0.875130255802653,0.831888744998075,50,0,"No Effect"
"Covariate_RSR",6,-0.154322337573932,1.84332055802529e-05,0,TRUE,0.8626240986883,0.817104122349068,50,0,"No Effect"
"Covariate_Only",7,0.0404397283484843,0.163829359657913,0.806084316284842,FALSE,1.10362737122185,1.09865712688543,50,0,"No Effect"
"Covariate_GMRF",7,0.09304922095189,0.158409436520451,0.556937137146779,FALSE,1.10750941919296,1.10589596345425,50,0,"No Effect"
"Covariate_RSR",7,0.0404397283484842,0.0319847394349565,0.206106415569322,FALSE,1.10362737122185,1.09865712688543,50,0,"No Effect"
"Covariate_Only",8,-0.480173213948838,0.131948213492441,0.000667913963898332,TRUE,1.14022605328271,1.15977551806754,50,0,"No Effect"
"Covariate_GMRF",8,-0.155656295727486,0.175513302548777,0.375152536218772,FALSE,1.21036845694901,1.23209832505444,50,0,"No Effect"
"Covariate_RSR",8,-0.480173213948837,3.93610201375365e-05,0,TRUE,1.14022605328271,1.15977551806754,50,0,"No Effect"
"Covariate_Only",9,0.253996059765482,0.156804046012289,0.111820924008994,FALSE,1.00828350511625,1.00176672970049,50,0,"No Effect"
"Covariate_GMRF",9,0.188556143270336,0.149080953939774,0.205946512339944,FALSE,1.01028187690841,1.00387871756366,50,0,"No Effect"
